customer_id,signup_date,age,country,device,acquisition_channel,plan,billing_cycle,payment_method,base_price,total_discount_pct,monthly_fee,late_payments_6m,usage_days_30,avg_session_minutes,content_diversity,engagement_trend,support_tickets_6m,avg_ticket_resolution_hours,had_streaming_issues,refund_requests_12m,tenure_months,churn_probability_true,churned,churned_month
15,2024-08-03,29,IT,SmartTV,Social,Basic,Monthly,Debit Card,9.99,0.05,9.49,1,17,39.9,8,0.04,1,1.0,0,0,17,0.7395,1,6.0
16,2024-12-06,68,UK,Desktop,Paid Search,Standard,Monthly,Debit Card,13.99,0.2,11.19,1,23,52.3,5,-0.93,0,20.0,0,0,13,0.722,1,1.0
17,2023-07-27,32,ES,Desktop,Social,Standard,Monthly,PayPal,13.99,0.0,13.99,0,4,22.4,7,0.02,1,32.7,0,0,29,0.8408,1,8.0
18,2021-08-22,27,FR,Mobile,Social,Standard,Annual,Credit Card,13.99,0.2662122357833987,10.27,0,17,31.4,5,-0.52,0,2.9,0,0,52,0.3881,0,
19,2025-03-14,46,US,Desktop,Social,Basic,Monthly,Apple Pay,9.99,0.15,8.49,0,2,57.6,6,-0.1,0,1.0,0,0,10,0.7035,1,10.0
20,2023-04-03,34,US,Mobile,Social,Standard,Monthly,Credit Card,13.99,0.1,12.59,1,17,27.6,5,-0.59,1,31.8,0,0,33,0.8923,1,11.0
21,2023-07-03,41,NL,Mobile,Paid Search,Standard,Monthly,Debit Card,13.99,0.1,12.59,0,21,49.4,4,0.28,0,6.0,0,1,30,0.7093,1,10.0
22,2022-11-09,55,NL,SmartTV,Social,Premium,Monthly,Credit Card,17.99,0.2,14.39,0,8,54.9,6,-1.61,0,15.1,0,0,38,0.7867,0,
23,2021-11-30,22,UK,Desktop,Affiliate,Standard,Annual,Credit Card,13.99,0.36239853051622056,8.92,0,17,54.7,5,0.45,0,34.9,1,1,49,0.784,0,
24,2025-08-20,44,IT,Mobile,Organic,Standard,Monthly,Prepaid,13.99,0.05,13.29,1,22,59.9,5,-1.08,0,1.0,1,0,4,0.8114,1,3.0
25,2024-11-28,19,NL,Mobile,Referral,Basic,Monthly,Apple Pay,9.99,0.1,8.99,0,3,43.4,11,1.77,0,31.5,1,0,13,0.871,1,11.0
26,2024-03-21,20,DE,Mobile,Organic,Basic,Monthly,Debit Card,9.99,0.15,8.49,0,26,49.8,6,1.88,0,25.6,0,0,21,0.5751,1,5.0
27,2023-01-05,22,DE,SmartTV,Paid Search,Premium,Annual,PayPal,17.99,0.11952247093189158,15.84,0,9,86.6,3,0.99,1,10.2,0,1,36,0.5347,1,2.0
28,2025-02-11,26,UK,Mobile,Organic,Standard,Annual,Credit Card,13.99,0.230262847260333,10.77,0,19,35.7,4,0.58,1,19.6,0,0,11,0.46,0,
29,2023-09-23,36,US,Desktop,Referral,Standard,Annual,Credit Card,13.99,0.24285017405666565,10.59,0,12,68.4,9,-0.11,2,22.1,0,0,27,0.5946,0,
30,2023-03-21,66,DE,Tablet,Organic,Premium,Monthly,Credit Card,17.99,0.0,17.99,0,16,53.2,10,-0.29,1,19.6,0,1,33,0.82,1,4.0
31,2023-04-03,65,UK,Mobile,Referral,Basic,Monthly,Credit Card,9.99,0.0,9.99,0,12,60.1,9,-1.96,0,21.4,0,0,33,0.7437,1,7.0
32,2022-02-19,23,ES,Mobile,Paid Search,Standard,Monthly,Apple Pay,13.99,0.0,13.99,0,12,45.0,9,1.74,1,8.2,0,0,46,0.5659,1,4.0
33,2021-06-18,69,CA,Desktop,Organic,Basic,Annual,Credit Card,9.99,0.23844930290421948,7.61,0,19,48.8,6,0.34,0,21.3,0,0,54,0.4844,0,
34,2023-10-10,51,DE,SmartTV,Email,Standard,Monthly,PayPal,13.99,0.0,13.99,0,11,43.0,4,0.4,0,24.1,1,1,27,0.9063,1,11.0
35,2025-06-10,46,US,Desktop,Organic,Standard,Annual,Apple Pay,13.99,0.2413126443069346,10.61,0,17,37.3,8,-0.28,1,22.8,0,0,7,0.6137,1,11.0
36,2021-04-27,59,ES,Mobile,Organic,Standard,Monthly,Prepaid,13.99,0.0,13.99,1,4,66.9,4,-0.11,0,20.1,0,0,56,0.799,1,5.0
37,2025-04-17,43,FR,Mobile,Paid Search,Standard,Monthly,Prepaid,13.99,0.0,13.99,0,18,66.6,6,-0.34,1,13.0,0,0,8,0.692,1,1.0
38,2025-02-20,31,DE,Mobile,Paid Search,Basic,Monthly,Debit Card,9.99,0.0,9.99,0,12,39.5,8,-2.06,1,16.5,1,0,10,0.853,1,3.0
39,2022-05-21,45,UK,Mobile,Referral,Basic,Annual,Credit Card,9.99,0.21935975846055475,7.8,0,22,54.7,6,-0.78,1,12.8,0,1,43,0.463,0,
40,2024-02-28,55,DE,SmartTV,Organic,Premium,Annual,Google Pay,17.99,0.16711947973917368,14.98,0,3,29.5,3,-0.06,1,16.6,0,0,22,0.6041,0,
41,2021-10-29,53,NL,Mobile,Social,Basic,Monthly,Debit Card,9.99,0.0,9.99,0,9,36.7,5,0.4,0,1.8,0,1,50,0.8286,1,12.0
42,2024-10-16,26,IT,Mobile,Paid Search,Standard,Monthly,Debit Card,13.99,0.0,13.99,1,17,5.0,8,2.13,1,18.2,1,0,14,0.8338,1,11.0
43,2024-07-03,66,SE,Desktop,Referral,Standard,Monthly,PayPal,13.99,0.2,11.19,0,10,74.1,9,-0.1,0,42.9,0,1,18,0.7928,1,5.0
44,2022-10-10,32,IT,Mobile,Paid Search,Standard,Monthly,Apple Pay,13.99,0.0,13.99,0,6,50.9,11,0.99,1,5.5,1,1,39,0.8605,1,11.0
45,2021-05-05,60,FR,Desktop,Organic,Standard,Monthly,Credit Card,13.99,0.2,11.19,0,8,38.8,2,-0.4,1,19.4,0,1,56,0.8835,1,7.0
46,2025-11-08,34,US,Mobile,Referral,Premium,Monthly,PayPal,17.99,0.0,17.99,0,10,51.8,3,-0.01,0,8.0,0,0,2,0.6874,1,11.0
47,2023-03-25,21,NL,SmartTV,Organic,Basic,Monthly,PayPal,9.99,0.0,9.99,0,3,5.0,6,0.27,0,25.4,0,0,33,0.8384,0,
48,2025-06-19,69,UK,Mobile,Paid Search,Standard,Monthly,Credit Card,13.99,0.0,13.99,0,9,43.0,4,0.56,0,26.2,0,0,6,0.8779,1,8.0
49,2024-05-22,48,UK,Desktop,Affiliate,Basic,Annual,PayPal,9.99,0.17549358648974378,8.24,1,30,5.0,13,-0.39,0,26.4,1,0,19,0.6864,1,12.0
50,2024-11-22,29,US,Desktop,Email,Basic,Monthly,Credit Card,9.99,0.15,8.49,0,15,65.0,4,-0.78,1,12.6,0,0,13,0.7656,1,7.0
51,2024-10-19,18,DE,Mobile,Organic,Basic,Monthly,Credit Card,9.99,0.2,7.99,0,16,69.6,8,0.97,1,6.8,0,0,14,0.6866,0,
52,2021-12-22,24,US,Mobile,Affiliate,Premium,Monthly,PayPal,17.99,0.0,17.99,0,13,15.0,5,0.33,0,25.8,0,0,48,0.6687,1,9.0
53,2022-10-27,26,NL,Desktop,Referral,Premium,Monthly,Credit Card,17.99,0.0,17.99,0,24,54.1,3,0.52,0,19.3,0,0,38,0.6548,1,6.0
54,2023-05-03,66,IT,SmartTV,Email,Basic,Annual,Credit Card,9.99,0.17233732668480636,8.27,0,14,37.3,6,0.43,1,15.1,1,0,32,0.7456,0,
55,2023-06-28,27,NL,Desktop,Referral,Standard,Annual,PayPal,13.99,0.1571067141670453,11.79,0,10,12.4,5,-1.56,2,11.1,0,0,30,0.6457,1,12.0
56,2021-03-21,26,IT,Desktop,Organic,Basic,Monthly,Prepaid,9.99,0.0,9.99,1,14,95.3,8,1.39,1,2.1,1,0,57,0.8452,1,10.0
57,2023-09-26,61,NL,Desktop,Email,Standard,Annual,PayPal,13.99,0.10312004130685622,12.55,1,24,19.8,8,-0.42,1,11.1,0,0,27,0.5244,1,9.0
58,2021-10-09,63,SE,Mobile,Organic,Premium,Monthly,Credit Card,17.99,0.0,17.99,0,21,66.6,3,0.15,0,28.4,1,0,51,0.6373,1,7.0
59,2024-09-19,28,US,Tablet,Paid Search,Premium,Monthly,Prepaid,17.99,0.15,15.29,0,0,29.9,5,-0.16,0,38.1,0,0,15,0.8518,1,9.0
60,2024-06-01,51,SE,Mobile,Paid Search,Standard,Monthly,Prepaid,13.99,0.0,13.99,1,14,9.8,2,0.91,0,6.4,0,1,19,0.8095,0,
61,2025-08-12,45,NL,Desktop,Paid Search,Standard,Annual,Google Pay,13.99,0.2733877077655807,10.17,0,19,43.5,12,-1.29,0,12.2,0,0,5,0.4069,1,9.0
62,2024-09-21,47,IT,SmartTV,Organic,Standard,Annual,Credit Card,13.99,0.3228633810978083,9.47,0,15,66.5,9,0.39,1,34.8,0,1,15,0.6998,0,
63,2022-11-01,34,IT,Desktop,Organic,Basic,Annual,Credit Card,9.99,0.25606479741102595,7.43,0,30,20.9,6,-1.16,1,18.2,1,1,38,0.7151,1,2.0
64,2025-11-02,57,IT,Desktop,Affiliate,Basic,Monthly,Google Pay,9.99,0.0,9.99,0,19,51.3,4,0.29,1,6.2,0,0,2,0.709,1,1.0
65,2023-01-21,63,FR,Tablet,Social,Basic,Monthly,Credit Card,9.99,0.0,9.99,0,21,50.6,1,-0.82,0,20.2,0,0,35,0.7325,1,9.0
66,2022-08-18,55,US,Mobile,Paid Search,Standard,Annual,PayPal,13.99,0.10373311512487125,12.54,0,4,46.6,7,-0.98,1,7.9,1,0,40,0.7921,1,12.0
67,2025-07-12,64,ES,Desktop,Referral,Basic,Monthly,Credit Card,9.99,0.0,9.99,0,3,94.8,8,1.74,0,17.2,0,1,6,0.8046,1,10.0
68,2022-11-08,23,US,Mobile,Affiliate,Standard,Monthly,Credit Card,13.99,0.2,11.19,0,9,31.9,9,0.8,0,8.3,0,0,38,0.6876,1,4.0
69,2021-05-20,52,FR,Mobile,Organic,Standard,Annual,Debit Card,13.99,0.24110602156243482,10.62,0,5,68.0,7,-1.11,0,33.8,0,0,55,0.7286,1,8.0
70,2023-05-08,69,IT,Mobile,Paid Search,Standard,Monthly,Debit Card,13.99,0.0,13.99,0,17,28.2,6,-0.31,0,29.5,0,0,32,0.7107,1,2.0
71,2024-12-23,45,UK,Tablet,Email,Premium,Monthly,PayPal,17.99,0.0,17.99,0,8,25.2,9,0.82,1,29.4,0,0,12,0.7033,1,8.0
72,2021-12-12,66,SE,Desktop,Social,Premium,Monthly,Prepaid,17.99,0.05,17.09,2,1,53.0,10,1.09,2,12.8,0,0,49,0.8808,0,
73,2023-04-26,36,DE,SmartTV,Organic,Basic,Monthly,Apple Pay,9.99,0.2,7.99,0,23,53.2,10,-1.51,1,33.1,0,1,32,0.8464,1,9.0
74,2021-08-26,64,DE,Mobile,Organic,Premium,Annual,PayPal,17.99,0.261257957234855,13.29,1,15,64.3,1,1.51,1,16.7,0,0,52,0.5995,1,10.0
75,2024-06-07,66,UK,Mobile,Email,Premium,Monthly,Credit Card,17.99,0.0,17.99,1,15,45.5,3,0.76,0,48.8,0,0,19,0.796,0,
76,2023-05-19,50,SE,Desktop,Social,Basic,Monthly,Google Pay,9.99,0.0,9.99,0,9,14.5,3,-1.08,0,10.9,0,1,31,0.7634,1,12.0
77,2022-08-26,54,UK,Mobile,Affiliate,Standard,Monthly,Credit Card,13.99,0.1,12.59,1,17,30.6,3,0.56,1,14.9,0,0,40,0.7657,1,1.0
78,2022-02-19,45,US,Desktop,Social,Basic,Monthly,Credit Card,9.99,0.0,9.99,0,16,57.0,6,1.16,0,25.4,0,0,46,0.5719,0,
79,2023-10-28,34,IT,Mobile,Paid Search,Basic,Monthly,PayPal,9.99,0.05,9.49,0,18,32.7,8,-0.03,1,28.7,0,0,26,0.7575,1,4.0
80,2024-05-08,45,IT,Mobile,Affiliate,Premium,Monthly,Credit Card,17.99,0.0,17.99,0,10,5.0,8,-0.18,1,30.7,0,1,20,0.8684,1,1.0
81,2025-09-13,68,US,Desktop,Paid Search,Premium,Monthly,Credit Card,17.99,0.0,17.99,0,11,55.2,4,0.67,1,10.5,1,0,4,0.8767,1,8.0
82,2023-03-10,18,US,Desktop,Referral,Standard,Monthly,Credit Card,13.99,0.2,11.19,0,9,39.6,10,0.26,0,7.7,0,0,34,0.7745,1,5.0
83,2021-10-21,28,US,Mobile,Paid Search,Basic,Monthly,Google Pay,9.99,0.0,9.99,0,7,75.6,6,-0.45,1,12.9,0,1,50,0.736,1,12.0
84,2025-03-01,43,UK,Mobile,Affiliate,Basic,Monthly,PayPal,9.99,0.0,9.99,0,30,72.3,6,0.08,1,34.5,0,1,10,0.6599,1,12.0
85,2024-02-24,35,SE,Mobile,Paid Search,Standard,Monthly,Debit Card,13.99,0.0,13.99,0,0,5.0,1,-0.58,1,23.6,1,0,22,0.9321,1,1.0
86,2024-07-02,50,ES,Mobile,Paid Search,Basic,Monthly,Apple Pay,9.99,0.0,9.99,0,4,43.1,10,-1.49,1,19.8,0,0,18,0.705,1,3.0
87,2021-06-27,36,SE,SmartTV,Referral,Standard,Monthly,Google Pay,13.99,0.15,11.89,0,15,64.1,5,-1.43,0,28.8,0,0,54,0.6342,1,8.0
88,2022-07-25,52,UK,Desktop,Affiliate,Basic,Monthly,Debit Card,9.99,0.0,9.99,0,7,55.4,3,0.18,1,11.8,0,0,41,0.7029,0,
89,2024-11-03,23,FR,Mobile,Affiliate,Premium,Monthly,Credit Card,17.99,0.0,17.99,0,15,19.7,10,0.51,0,8.8,0,0,14,0.6576,0,
90,2025-02-28,35,DE,Mobile,Paid Search,Basic,Monthly,PayPal,9.99,0.0,9.99,0,2,43.2,6,0.98,1,14.0,0,0,10,0.815,0,
91,2023-03-06,54,CA,Mobile,Paid Search,Basic,Monthly,Apple Pay,9.99,0.05,9.49,0,0,20.1,5,0.29,2,31.8,1,0,34,0.9471,1,4.0
92,2025-01-09,42,CA,Mobile,Organic,Basic,Monthly,Apple Pay,9.99,0.0,9.99,0,11,56.6,3,1.37,1,15.0,0,0,12,0.7026,0,
93,2025-03-17,55,ES,SmartTV,Organic,Standard,Monthly,Debit Card,13.99,0.0,13.99,1,23,43.4,1,-0.56,0,27.4,0,0,9,0.7385,1,4.0
94,2022-12-09,51,IT,Mobile,Email,Basic,Monthly,Google Pay,9.99,0.2,7.99,0,16,83.4,6,-0.42,1,22.7,0,1,37,0.7942,1,6.0
95,2025-06-28,35,UK,SmartTV,Referral,Standard,Monthly,Credit Card,13.99,0.0,13.99,0,21,41.3,8,-0.28,0,10.4,0,0,6,0.459,1,9.0
96,2022-06-11,40,IT,SmartTV,Social,Premium,Annual,Credit Card,17.99,0.12531016696433855,15.74,1,25,43.1,8,0.03,1,31.1,0,0,43,0.5451,1,8.0
97,2022-03-14,68,NL,Tablet,Social,Premium,Annual,Prepaid,17.99,0.18636064072906294,14.64,1,20,5.0,9,0.74,2,27.4,0,0,46,0.5545,0,
98,2024-05-31,68,DE,Desktop,Organic,Standard,Annual,Debit Card,13.99,0.1479379404984585,11.92,0,7,63.7,11,0.08,0,24.3,0,0,19,0.5637,0,
99,2024-03-08,19,IT,Mobile,Paid Search,Premium,Monthly,Credit Card,17.99,0.0,17.99,0,11,28.8,12,-0.17,1,12.4,0,1,22,0.8331,1,7.0
100,2021-09-13,54,DE,SmartTV,Email,Basic,Monthly,Apple Pay,9.99,0.15,8.49,1,5,13.2,2,0.4,1,20.4,0,0,52,0.933,1,12.0
101,2025-03-01,43,IT,SmartTV,Paid Search,Standard,Monthly,Debit Card,13.99,0.0,13.99,1,11,31.8,2,0.06,0,26.5,0,0,10,0.8458,1,9.0
102,2022-01-01,18,SE,Desktop,Social,Basic,Annual,Credit Card,9.99,0.2223035472008092,7.77,0,8,43.6,7,0.98,0,11.0,0,1,48,0.5684,1,5.0
103,2025-01-09,50,DE,Mobile,Paid Search,Standard,Monthly,Credit Card,13.99,0.0,13.99,0,16,81.1,1,-0.23,2,1.0,0,0,12,0.6841,0,
104,2021-01-14,19,SE,Mobile,Organic,Premium,Monthly,Credit Card,17.99,0.0,17.99,0,6,52.7,2,0.11,1,13.1,0,0,60,0.7998,0,
105,2024-12-26,34,US,Mobile,Paid Search,Standard,Annual,Debit Card,13.99,0.15634561472709088,11.8,1,10,61.1,4,0.4,0,15.1,1,0,12,0.6964,1,8.0
106,2024-12-07,53,US,Mobile,Organic,Basic,Annual,Apple Pay,9.99,0.23833312493710923,7.61,2,22,32.4,4,0.53,1,23.2,0,2,13,0.8224,1,12.0
107,2024-11-25,60,ES,Desktop,Social,Basic,Annual,Debit Card,9.99,0.10175966101274837,8.97,1,22,97.8,6,-0.4,0,27.9,0,0,13,0.5474,1,8.0
108,2024-04-29,39,US,SmartTV,Email,Premium,Monthly,Debit Card,17.99,0.0,17.99,0,19,31.4,4,-0.16,0,17.5,0,0,20,0.7323,0,
109,2023-05-12,60,US,Desktop,Paid Search,Premium,Monthly,Google Pay,17.99,0.1,16.19,0,5,36.2,10,-0.36,1,15.2,0,0,32,0.6982,1,4.0
110,2024-07-11,61,IT,Desktop,Affiliate,Standard,Monthly,Debit Card,13.99,0.0,13.99,1,30,6.5,5,0.5,1,8.6,0,0,18,0.5928,0,
111,2022-05-22,41,NL,Tablet,Organic,Basic,Monthly,PayPal,9.99,0.0,9.99,0,11,35.7,3,1.28,2,7.1,0,0,43,0.7623,1,9.0
112,2024-11-26,26,FR,Desktop,Paid Search,Basic,Monthly,Google Pay,9.99,0.15,8.49,0,17,47.2,8,-0.05,0,29.1,0,0,13,0.7115,1,12.0
113,2023-10-12,52,DE,Mobile,Social,Basic,Monthly,PayPal,9.99,0.0,9.99,0,11,57.6,6,0.45,0,28.1,0,0,27,0.8368,1,7.0
114,2023-04-18,18,FR,SmartTV,Paid Search,Standard,Monthly,Google Pay,13.99,0.0,13.99,0,13,49.7,1,0.16,2,1.0,0,1,32,0.7862,1,11.0
115,2023-07-13,64,US,Mobile,Organic,Standard,Monthly,Google Pay,13.99,0.15,11.89,0,0,60.7,3,0.9,1,28.8,0,0,30,0.8582,1,1.0
116,2023-11-05,38,FR,SmartTV,Organic,Basic,Annual,Credit Card,9.99,0.15541355068848026,8.44,0,18,23.0,4,-1.34,0,22.8,0,0,26,0.4406,1,4.0
117,2021-03-10,57,FR,Mobile,Organic,Standard,Monthly,Debit Card,13.99,0.0,13.99,0,6,25.8,3,0.27,0,35.2,0,0,58,0.8077,1,7.0
118,2021-09-13,56,IT,Desktop,Affiliate,Basic,Monthly,PayPal,9.99,0.1,8.99,0,25,71.3,1,-0.66,0,25.4,1,0,52,0.705,1,10.0
119,2022-03-25,42,FR,Desktop,Organic,Basic,Monthly,PayPal,9.99,0.0,9.99,0,18,73.4,3,-0.75,0,14.8,1,0,45,0.8419,1,11.0
120,2021-07-29,68,UK,Mobile,Organic,Standard,Monthly,Debit Card,13.99,0.1,12.59,0,27,61.7,3,0.11,1,2.2,0,0,53,0.6425,0,
121,2023-03-14,59,NL,Mobile,Referral,Standard,Monthly,Google Pay,13.99,0.0,13.99,0,10,58.4,12,1.28,0,34.3,0,0,34,0.6135,0,
122,2024-05-05,63,DE,Mobile,Organic,Basic,Monthly,PayPal,9.99,0.05,9.49,1,7,30.7,6,-0.61,1,28.3,0,0,20,0.8864,1,12.0
123,2024-04-09,22,SE,Tablet,Paid Search,Standard,Monthly,Prepaid,13.99,0.0,13.99,0,22,73.4,8,0.63,0,14.2,1,0,21,0.6888,1,1.0
124,2023-05-11,43,US,Mobile,Paid Search,Basic,Monthly,Credit Card,9.99,0.0,9.99,0,18,40.6,11,1.42,2,32.1,0,0,32,0.7132,1,8.0
125,2025-04-11,67,CA,Desktop,Affiliate,Basic,Monthly,Google Pay,9.99,0.0,9.99,0,20,63.5,7,0.25,0,31.2,0,0,9,0.5886,1,4.0
126,2023-10-30,60,SE,SmartTV,Email,Premium,Monthly,Credit Card,17.99,0.0,17.99,0,13,34.5,7,-1.04,2,34.2,0,1,26,0.8348,1,2.0
127,2021-05-25,41,UK,Desktop,Email,Basic,Annual,Prepaid,9.99,0.1508957537665595,8.48,1,6,60.6,9,-0.01,0,14.7,1,0,55,0.72,0,
128,2024-10-28,21,US,SmartTV,Paid Search,Standard,Annual,Google Pay,13.99,0.1496117647200863,11.9,1,7,55.6,4,1.92,0,19.4,0,0,14,0.5688,1,9.0
129,2023-11-16,32,IT,Mobile,Organic,Basic,Monthly,Credit Card,9.99,0.0,9.99,0,21,57.5,8,-0.9,0,14.0,1,0,25,0.7051,0,
130,2024-03-04,47,IT,Mobile,Affiliate,Standard,Monthly,Debit Card,13.99,0.0,13.99,0,19,70.0,4,-0.76,1,14.7,0,0,22,0.5668,1,4.0
131,2023-10-30,51,FR,Mobile,Affiliate,Basic,Monthly,Debit Card,9.99,0.1,8.99,1,19,34.9,3,0.16,0,13.2,0,0,26,0.6652,0,
132,2023-10-08,66,US,SmartTV,Paid Search,Basic,Monthly,PayPal,9.99,0.0,9.99,1,11,15.4,5,0.75,0,14.0,0,0,27,0.8265,1,7.0
133,2021-06-15,22,NL,Tablet,Social,Standard,Monthly,PayPal,13.99,0.0,13.99,0,5,30.0,6,-0.4,0,20.8,0,0,55,0.7087,0,
134,2023-10-19,38,DE,SmartTV,Paid Search,Premium,Monthly,Credit Card,17.99,0.0,17.99,0,10,52.8,10,1.22,1,8.8,1,0,26,0.8696,1,1.0
135,2024-12-22,32,CA,Desktop,Organic,Basic,Monthly,Credit Card,9.99,0.1,8.99,0,9,61.4,5,-0.56,0,18.3,0,0,12,0.8161,1,8.0
136,2022-07-10,67,UK,Mobile,Paid Search,Standard,Monthly,Credit Card,13.99,0.05,13.29,2,28,60.0,9,-1.34,1,27.0,0,0,42,0.8095,1,9.0
137,2024-01-06,26,IT,Mobile,Affiliate,Standard,Monthly,Credit Card,13.99,0.0,13.99,0,24,59.0,8,0.49,1,9.6,0,0,24,0.4368,0,
138,2021-02-26,29,IT,Desktop,Affiliate,Standard,Annual,PayPal,13.99,0.20308881903349307,11.15,0,10,40.7,3,-0.04,0,29.1,1,0,58,0.727,1,8.0
139,2022-09-27,33,US,Mobile,Organic,Premium,Annual,Debit Card,17.99,0.4,10.79,0,30,20.0,7,-0.91,0,15.7,0,0,39,0.4294,0,
140,2023-03-09,23,ES,Desktop,Paid Search,Standard,Monthly,PayPal,13.99,0.15,11.89,0,18,71.8,8,0.71,1,20.7,0,0,34,0.6099,0,
141,2025-11-30,51,DE,SmartTV,Organic,Premium,Annual,Apple Pay,17.99,0.14739834090628962,15.34,1,14,25.1,8,0.81,0,36.6,0,0,1,0.7479,0,
142,2022-01-27,45,IT,Mobile,Organic,Premium,Monthly,Debit Card,17.99,0.0,17.99,0,12,71.0,6,-0.25,0,7.5,0,0,47,0.6093,1,1.0
143,2022-05-20,46,US,Desktop,Organic,Premium,Monthly,Apple Pay,17.99,0.05,17.09,2,22,45.2,7,0.48,1,16.9,0,0,43,0.6469,1,11.0
144,2023-01-16,65,CA,Desktop,Organic,Basic,Monthly,Debit Card,9.99,0.0,9.99,1,10,22.7,3,-2.5,0,7.7,0,0,35,0.9059,1,9.0
145,2025-12-18,40,IT,Mobile,Affiliate,Standard,Monthly,Google Pay,13.99,0.0,13.99,1,24,63.8,4,0.28,0,32.5,0,1,1,0.8278,1,9.0
146,2025-04-08,34,US,Mobile,Affiliate,Basic,Monthly,Google Pay,9.99,0.0,9.99,0,12,53.2,12,-0.28,0,36.0,1,1,9,0.9252,1,7.0
147,2021-03-05,37,US,Desktop,Email,Basic,Annual,PayPal,9.99,0.17884149437249103,8.2,0,19,29.8,9,-0.58,2,14.5,0,1,58,0.6935,1,6.0
148,2022-03-04,59,ES,Tablet,Referral,Standard,Annual,Prepaid,13.99,0.1369119486590526,12.07,1,22,36.7,7,-1.56,0,10.7,1,0,46,0.7895,1,2.0
149,2025-02-09,45,IT,Mobile,Referral,Standard,Annual,Google Pay,13.99,0.24168103459121176,10.61,0,9,32.6,8,0.25,1,16.3,0,0,11,0.523,1,1.0
150,2021-04-17,26,SE,Mobile,Referral,Standard,Annual,PayPal,13.99,0.3529028171095373,9.05,1,19,36.6,6,0.15,0,23.4,0,0,56,0.4947,0,
151,2025-04-12,53,ES,Mobile,Social,Basic,Monthly,Credit Card,9.99,0.0,9.99,1,25,61.2,10,2.02,0,31.4,0,1,9,0.7562,0,
152,2022-05-29,56,FR,Tablet,Organic,Basic,Annual,Credit Card,9.99,0.31117896651537197,6.88,0,7,65.7,3,0.36,1,20.3,0,0,43,0.6426,0,
153,2025-08-03,30,NL,Mobile,Organic,Basic,Monthly,PayPal,9.99,0.05,9.49,0,16,60.1,7,-0.93,1,10.1,0,0,5,0.7802,1,5.0
154,2022-06-21,46,NL,Desktop,Paid Search,Premium,Monthly,Debit Card,17.99,0.1,16.19,0,27,31.8,4,-0.65,0,20.2,0,1,42,0.7485,1,7.0
155,2023-03-05,47,US,Mobile,Social,Premium,Monthly,Debit Card,17.99,0.0,17.99,0,19,25.0,5,0.82,1,34.5,0,0,34,0.7572,1,1.0
